epoch,loss,output_acc,output_loss,output_recon_acc,output_recon_loss,val_loss,val_output_acc,val_output_loss,val_output_recon_acc,val_output_recon_loss
0,0.810150233192,0.0078,0.80999994278,0.348449355469,0.300580703745,0.810151059246,0.0083,0.80999994278,0.349107421875,0.302232640505
1,0.810150229759,0.0078,0.80999994278,0.348839394531,0.300574765458,0.81015105648,0.0083,0.80999994278,0.349107421875,0.302226687884
2,0.810150226994,0.0078,0.80999994278,0.34884,0.300568827047,0.810151053619,0.0083,0.80999994278,0.349107421875,0.302220734978
3,0.810150223904,0.0078,0.80999994278,0.34884,0.300562889223,0.810151051235,0.0083,0.80999994278,0.349107421875,0.30221478169
4,0.810150220985,0.0078,0.80999994278,0.34884,0.300556951857,0.810151048946,0.0083,0.80999994278,0.349107421875,0.302208830452
5,0.810150217896,0.0078,0.80999994278,0.34884,0.300551014519,0.810151045799,0.0083,0.80999994278,0.349107421875,0.302202878284
6,0.810150215282,0.0078,0.80999994278,0.34884,0.300545077205,0.810151042366,0.0083,0.80999994278,0.349107421875,0.302196926713
7,0.810150211983,0.0078,0.80999994278,0.34884,0.300539140377,0.810151039124,0.0083,0.80999994278,0.349107421875,0.302190974832
8,0.810150209198,0.0078,0.80999994278,0.34884,0.300533203912,0.81015103569,0.0083,0.80999994278,0.349107421875,0.302185024309
9,0.810150206814,0.0078,0.80999994278,0.34884,0.300527267118,0.810151032066,0.0083,0.80999994278,0.349107421875,0.302179072976
10,0.81015020319,0.0078,0.80999994278,0.34884,0.300521331091,0.810151028538,0.0083,0.80999994278,0.349107421875,0.302173121595
11,0.810150200233,0.0078,0.80999994278,0.34884,0.300515394845,0.810151024628,0.0083,0.80999994278,0.349107421875,0.302167171597
